City,Zip
Chicago,60290
Atlanta,30301
Los Angeles,90001
Dallas,75201
Harrisburg,17101
Elizabeth,7201
New York,10001
Boston,2101
Baltimore,21201
Charlotte,28201
Charleston,29401
Orlando,32801
Miami,33101
Birmingham,35201
New Orleans,70112
Nashville,37201
Memphis,37501
Columbus,43085
Cleveland,44101
Indianapolis,46201
Louisville,40201
Detroit,48201
Milwaukee,53201
Little Rock,72201
St. Louis,63101
Omaha,68101
Houston,77001
San Antonio,78201
Tulsa,74101
Kansas City,64101
Boise,83701
DENVER,80002
Portland,97086
Seattle,98101
Phoenix,85001
Stockton,95201
Albuquerque,87101
Salt Lake City,84101
